Player,College,NBA Debut,Position,Ht,Wt,College PTS,College TRB,College AST,College FG%,College 3P%,College FT%,PTS,TRB,AST,FG%,3PT%,FT%
T.J. Leaf,UCLA,2017,4,208,102,16.3,8.2,2.4,0.617,0.466,0.679,2.9,1.5,0.2,0.471,0.429,0.625
Lonzo Ball,UCLA,2017,1,198,86,14.6,6,7.6,0.551,0.412,0.673,10.2,6.9,7.2,0.36,0.305,0.451
Frank Mason,Kansas,2017,1,180,83,13,3.4,4,0.454,0.42,0.761,7.9,2.5,2.8,0.379,0.36,0.817
Marquese Chriss,Washington,2016,4,206,102,467,183,26,0.53,0.35,0.682,9.2,4.2,0.7,0.449,0.321,0.624
Buddy Hield,Oklahoma,2016,2,193,94,17.4,5,1.9,0.448,0.39,0.836,10.6,3.3,1.5,0.426,0.391,0.842
Jamal Murray,Kentucky,2016,1,196,93,20,5.2,2.2,0.454,0.408,0.783,9.9,2.6,2.1,0.404,0.334,0.883
Dorian Finney-Smith,Florida  ,2016,3,203,98,8.7,6.7,2.1,0.371,0.295,0.643,4.3,2.7,0.8,0.372,0.293,0.754
Domantas Sabonis,Gonzaga,2016,4,208,104,9.7,7.1,0.9,0.668,0,0.664,5.9,3.6,1,0.399,0.321,0.657
Brandon Ingram,Duke,2016,3,206,86,17.3,6.8,2,0.442,0.41,0.682,9.4,4,2.1,0.402,0.294,0.621
Jaylen Brown,California,2016,2,201,102,14.6,5.4,2,0.431,0.294,0.654,6.6,2.8,0.8,0.454,0.341,0.685
Kris Dunn,Providence,2016,1,102,92,3.8,2.5,5,0.316,0,1,3.8,2.1,2.4,0.377,0.288,0.61
Malcolm Brogdon,UVA,2016,1,196,98,18.2,4.1,3.1,0.457,0.391,0.897,10.2,2.8,4.2,0.457,0.404,0.865
Isaiah Whitehead,Seton Hall,2016,2,193,95,12,3.9,3.5,0.367,0.346,0.746,7.4,2.5,2.6,0.402,0.295,0.805
Andrew Harrison,Kentucky,2016,2,198,95,10,2.7,3.8,0.372,0.367,0.777,5.9,1.9,2.8,0.325,0.276,0.763
Patrick McCaw,UNLV,2016,2,198,81,9.6,3.3,2.7,0.402,0.368,0.714,4,1.4,1.1,0.433,0.333,0.784
Tyler Ulis,Kentucky,2016,1,175,70,11.3,1.2,5.3,0.427,0.371,0.846,7.3,1.6,3.7,0.421,0.266,0.775
Taurean Prince,Baylor,2016,3,201,97,10.2,4.2,1.1,0.46,0.376,0.718,5.7,2.7,0.9,0.4,0.324,0.787
Caris LeVert,Michigan  ,2016,2,201,90,10.4,3.5,2.7,0.434,0.401,0.77,8.2,3.3,1.9,0.45,0.321,0.72
Denzel Valentine,Michigan State,2016,2,196,99,11.4,5.9,4.4,0.442,0.408,0.779,5.1,2.6,1.1,0.354,0.351,0.778
Pascal Siakam,New Mexico State,2016,4,206,104,12.8,7.7,1.3,0.572,0,0.759,4.2,3.4,0.3,0.502,0.143,0.688
Jakob Poeltl,Utah,2016,4,203,104,9.1,6.8,0.7,0.681,0,0.444,3.1,3.1,0.2,0.583,0,0.544
Ron Baker,Wichita State,2016,2,193,99,8.7,3.2,1.8,0.398,0.357,0.822,4.1,1.9,2.1,0.378,0.267,0.651
Karl-Anthony Towns,Kentucky,2015,5,211,113,15.3,6.7,1.1,0.566,0.25,0.813,18.3,10.5,2,0.542,0.341,0.811
Frank Kaminsky,Wisconsin,2015,5,213,109,10.1,4.6,1.3,0.522,0.369,0.763,7.5,4.1,1.2,0.41,0.337,0.73
T.J. McConnell,Arizona,2015,1,185,88,9.4,3.7,5.8,0.477,0.343,0.742,6.1,3.1,4.5,0.47,0.348,0.634
Trey Lyles,Kentucky,2015,4,208,106,8.7,5.2,1.1,0.488,0.138,0.735,6.1,3.7,0.7,0.438,0.383,0.695
D'Angelo Russell,Ohio State,2015,1,196,81,19.3,5.7,5,0.449,0.411,0.756,13.2,3.4,3.3,0.41,0.351,0.737
Justise Winslow,Duke,2015,3,198,102,12.6,6.5,2.1,0.486,0.418,0.641,6.4,5.2,1.5,0.422,0.276,0.684
Devin Booker,Kentucky,2015,2,198,93,10,2,1.1,0.47,0.411,0.828,13.8,2.5,2.6,0.423,0.343,0.84
Jerian Grant,Notre Dame,2015,1,196,92,12.3,2.9,5,0.38,0.354,0.819,5.6,1.9,2.3,0.394,0.22,0.78
Stanley Johnson,Arizona,2015,3,198,102,13.8,6.5,1.7,0.446,0.371,0.742,8.1,4.2,1.6,0.375,0.307,0.784
Rashad Vaughn,UNLV,2015,2,198,95,17.8,4.8,1.6,0.439,0.383,0.694,3.1,1.3,0.6,0.305,0.293,0.8
Willie Cauley-Stein,Kentucky,2015,4,213,108,8,6.2,0.9,0.593,0,0.508,7,5.3,0.6,0.563,0,0.648
Larry Nance,Wyoming,2015,4,203,106,10.7,6.9,1.2,0.533,0.345,0.75,5.5,5,0.7,0.527,0.1,0.681
Kelly Oubre,Kansas,2015,4,201,90,9.3,5,0.8,0.444,0.358,0.718,3.7,2.1,0.2,0.427,0.316,0.633
Bobby Portis,Arkansas,2015,4,211,109,15,7.9,1.3,0.526,0.365,0.737,7,5.4,0.8,0.427,0.308,0.727
Myles Turner,Texas,2015,5,211,108,10.1,6.5,0.6,0.455,0.274,0.839,10.3,5.5,0.7,0.498,0.214,0.727
Cameron Payne,Murray State,2015,1,188,81,16.8,3.6,5.4,0.404,0.341,0.774,5,1.5,1.9,0.41,0.324,0.792
Justin Anderson,UVA,2015,3,198,102,8.9,3.5,1.8,0.43,0.357,0.752,3.8,2.4,0.5,0.406,0.265,0.8
Jahlil Okafor,Duke,2015,5,211,122,17.3,8.5,1.3,0.664,0,0.51,17.5,7,1.2,0.508,0.167,0.686
Josh Richardson,Tennessee,2015,2,198,90,9.2,3.2,1.8,0.456,0.318,0.758,6.6,2.1,1.4,0.452,0.461,0.667
Richaun Holmes,Bowling Green,2015,3,203,111,6.5,5,0.2,0.633,0,0.62,5.6,2.6,0.6,0.514,0.182,0.689
Elfrid Payton,Louisiana-Lafayette,2014,1,190,81,14.3,5.1,4.9,0.485,0.268,0.611,8.9,4.3,6.5,0.425,0.262,0.551
Andrew Wiggins,Kansas,2014,3,203,90,17.1,5.9,1.5,0.448,0.341,0.775,16.9,4.6,2.1,0.437,0.31,0.76
Zach LaVine,UCLA,2014,2,196,81,9.4,2.5,1.8,0.441,0.375,0.691,10.1,2.8,3.6,0.422,0.341,0.842
JaKarr Sampson,St. John's,2014,3,206,97,12.8,6.1,1.2,0.495,0.2,0.565,5.2,2.2,1,0.422,0.244,0.67
Nik Stauskas,Michigan,2014,2,198,92,11,3,1.3,0.463,0.44,0.851,4.4,1.2,0.9,0.365,0.322,0.859
Marcus Smart,Oklahoma State,2014,1,193,99,15.4,5.8,4.2,0.404,0.29,0.777,7.8,3.3,3.1,0.367,0.335,0.646
